,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-02-2026,2.3,
02-02-2026,8.3,
03-02-2026,13,
04-02-2026,2.5,
05-02-2026,0.8,
06-02-2026,23.5,
07-02-2026,3.4,
08-02-2026,17.3,
09-02-2026,2.3,
10-02-2026,8.7,
11-02-2026,2.4,
12-02-2026,3.7,
13-02-2026,45.5,
14-02-2026,0,
15-02-2026,46.5,
16-02-2026,8888,
17-02-2026,31.7,
18-02-2026,14.2,
19-02-2026,2.7,
20-02-2026,96.2,
21-02-2026,11.4,
22-02-2026,2.1,
23-02-2026,10.4,
24-02-2026,10.3,
25-02-2026,0.3,
26-02-2026,0,
27-02-2026,1.6,
28-02-2026,6.6,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
