,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-08-2025,0,
02-08-2025,0,
03-08-2025,0,
04-08-2025,23,
05-08-2025,55.5,
06-08-2025,22.8,
07-08-2025,19.4,
08-08-2025,2.8,
09-08-2025,0,
10-08-2025,0.2,
11-08-2025,0.5,
12-08-2025,30.1,
13-08-2025,25,
14-08-2025,2.4,
15-08-2025,1.9,
16-08-2025,0,
17-08-2025,14,
18-08-2025,0,
19-08-2025,1.5,
20-08-2025,2.5,
21-08-2025,1.6,
22-08-2025,6.6,
23-08-2025,0.8,
24-08-2025,0,
25-08-2025,7.2,
26-08-2025,0.5,
27-08-2025,0,
28-08-2025,0.1,
29-08-2025,1.1,
30-08-2025,8888,
31-08-2025,65.5,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
