,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-03-2025,54.6,
02-03-2025,0.8,
03-03-2025,115.1,
04-03-2025,126.4,
05-03-2025,0,
06-03-2025,0,
07-03-2025,32.2,
08-03-2025,0,
09-03-2025,33.2,
10-03-2025,7,
11-03-2025,7,
12-03-2025,7.5,
13-03-2025,1,
14-03-2025,0.9,
15-03-2025,28.7,
16-03-2025,54.1,
17-03-2025,0,
18-03-2025,39.8,
19-03-2025,0.4,
20-03-2025,0,
21-03-2025,0.5,
22-03-2025,0,
23-03-2025,4.7,
24-03-2025,0,
25-03-2025,6.6,
26-03-2025,2,
27-03-2025,8.7,
28-03-2025,6.2,
29-03-2025,5,
30-03-2025,8888,
31-03-2025,0,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
