,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-12-2024,0.3,
02-12-2024,1.6,
03-12-2024,65.6,
04-12-2024,28.6,
05-12-2024,15.3,
06-12-2024,37.7,
07-12-2024,0.9,
08-12-2024,21.8,
09-12-2024,6.2,
10-12-2024,20.7,
11-12-2024,4.7,
12-12-2024,6.2,
13-12-2024,8888,
14-12-2024,44.7,
15-12-2024,1.7,
16-12-2024,7.6,
17-12-2024,38.8,
18-12-2024,3,
19-12-2024,16.6,
20-12-2024,73,
21-12-2024,7.4,
22-12-2024,2,
23-12-2024,1.3,
24-12-2024,5.1,
25-12-2024,3.6,
26-12-2024,19.5,
27-12-2024,0,
28-12-2024,0.5,
29-12-2024,0,
30-12-2024,0,
31-12-2024,7.1,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
